id	choice	purpose	age	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	car_ivtt	car_cost	car_walk_time	avail0	avail1
1	0	0	0	1	2	40	0	0.333	0.167	1	5	0.167	1	1
2	0	0	0	1	1.633	35	0	0.133	0.25	1.5	9	0.017	1	1
3	0	0	0	0	1.5	24	0	0.5	0.017	1.633	11.5	0.333	1	1
4	0	0	1	0	1	7.8	1	0.5	0.25	1.5	8.333	0.5	1	1
5	0	0	0	1	1.667	28	1	0.2	0.167	1.25	5	0.017	1	1
6	1	1	1	0	1.75	31.2	1	0.167	0.167	1.5	90	0.083	1	1
7	0	0	1	0	2	40	0	0.5	0.167	2.5	3.2	0.05	1	1
8	0	1	0	1	1.083	45	0	0.25	0.75	1.417	13	0.067	1	1
9	1	1	0	0	2.5	42	1	0.167	0.583	2	45	0.083	1	1
10	1	0	0	0	1.25	52	0	0.117	0.167	1.583	25	0.417	1	1
11	1	0	0	0	1.833	27	1	0.167	0.033	1.5	35	0.033	1	1
12	0	0	1	1	2	30	2	0.083	0.25	2	10	0.333	1	1
13	0	0	0	0	2	40	1	0.167	0.083	1.5	17	0.083	1	1
14	0	0	0	0	1.75	25	2	0.25	0.417	1.167	34	0.017	1	1
15	0	0	0	0	1.417	35	0	0.333	0.25	1.417	9.75	0	1	1
16	1	1	0	0	1.833	52.5	0	0.25	0.417	2	20	0.25	1	1
17	0	0	0	0	1.5	25	1	0.333	0.25	1.417	5	0.1	1	1
18	0	0	1	1	2	40	1	0.417	0.25	1.5	20	0.25	1	1
19	0	0	0	0	1.25	30	0	0.25	0.25	1.25	8	0.167	1	1
20	0	1	0	0	1.333	28	0	0.333	0.333	1.5	30	0.017	1	1
21	0	0	1	0	1.5	28	1	0.5	0.5	1.75	5.5	0.017	1	1
22	1	0	0	0	1.5	35	1	0.167	0.25	1.75	15	0.033	1	1
23	1	0	0	0	1.167	35	0	0.167	0.167	1.333	17.5	0.167	1	1
24	0	0	0	0	1.5	40	0	0.167	0.333	1.333	20	0.017	1	1
